access,area,bridge,from,highway,junction,key,lanes,length,maxspeed,name,oneway,osmid,ref,service,to,tunnel,width,uid
,,,"413332245",residential,,"0",,"150.175",25 mph,Kinsey Avenue,False,"[231462773, 19068047]",,,"197471090",,,"28503"
yes,,,"197471089",residential,,"0","2","107.968",25 mph,Highland Avenue,False,"214784015",,,"197471088",,,"28502"
yes,,,"2880570456",residential,,"0","3","170.25",25 mph,Highland Avenue,False,"[562094427, 562094428]",,,"197471090",,,"28505"
,,,"413332245",residential,,"0",,"150.175",25 mph,Kinsey Avenue,False,"[231462773, 19068047]",,,"197471090",,,"28504"
yes,,,"197558221",residential,,"0",,"582.923",,Boal Street,False,"19069416",,,"197471075",,,"28491"
yes,,,"197558221",residential,,"0",,"582.923",,Boal Street,False,"19069416",,,"197471075",,,"28490"
yes,,,"197471079",residential,,"0","2","58.303",25 mph,Highland Avenue,False,"19055540",,,"197471078",,,"28493"
yes,,,"197558221",residential,,"0",,"582.923",,Boal Street,False,"19069416",,,"197471075",,,"28492"
yes,,,"197471085",residential,,"0","2","344.601",25 mph,Highland Avenue,False,"214784015",,,"197471083",,,"28495"
yes,,,"197471083",residential,,"0","2","105.78899999999999",25 mph,Highland Avenue,False,"19055540",,,"197471081",,,"28494"
yes,,,"197471085",residential,,"0","2","344.601",25 mph,Highland Avenue,False,"214784015",,,"197471083",,,"28497"
yes,,,"197471085",residential,,"0","2","344.601",25 mph,Highland Avenue,False,"214784015",,,"197471083",,,"28496"
yes,,,"197605300",tertiary,,"0","2","125.45700000000001",25 mph,East University Avenue,False,"19065425",,,"197471101",,,"28515"
yes,,,"197605308",tertiary,,"0","2","79.28799999999998",25 mph,East University Avenue,False,"19065425",,,"197471101",,,"28514"
yes,,,"197658505",residential,,"0",,"123.728",,Donahue Street,False,"19069163",,,"197471103",,,"28517"
yes,,,"197471103",residential,,"0","2","78.5",30 mph,Highland Avenue,False,"223417691",,,"197471101",,,"28516"
yes,,,"2880570438",residential,,"0",,"127.841",,Donahue Street,False,"19069163",,,"197471103",,,"28519"
yes,,,"197471105",residential,,"0","2","62.373",30 mph,Highland Avenue,False,"223417691",,,"197471103",,,"28518"
yes,,,"197508908",residential,,"0",,"123.361",,East Rochelle Street,False,"19058423",,,"197471105",,,"28521"
yes,,,"197471106",residential,,"0","2","84.125",30 mph,Highland Avenue,False,"223417691",,,"197471105",,,"28520"
,,,"2880570449",residential,,"0",,"124.932",,Shea Place,False,"19072126",,,"197471094",,,"28507"
yes,,,"2880570456",residential,,"0","3","170.25",25 mph,Highland Avenue,False,"[562094427, 562094428]",,,"197471090",,,"28506"
yes,,,"197491890",residential,,"0",,"125.487",,Oak Street,False,"19056809",,,"197471098",,,"28509"
yes,,,"2880570456",residential,,"0","4","88.51899999999999",25 mph,Highland Avenue,False,"223417694",,,"197471094",,,"28508"
yes,,,"2880570092",unclassified,,"0","2","126.623",,Oak Street,False,"229210590",,,"197471098",,,"28511"
yes,,,"197471100",residential,,"0","2","81.576",30 mph,Highland Avenue,False,"223417691",,,"197471098",,,"28510"
yes,,,"197471101",residential,,"0","2","81.116",30 mph,Highland Avenue,False,"223417691",,,"197471100",,,"28513"
yes,,,"197495052",residential,,"0",,"124.925",,Fosdick Street,False,"19057203",,,"197471100",,,"28512"
,,,"932341275",tertiary,,"0","2","110.304",30 mph,West McMicken Avenue,False,"213530551",,,"197473811",,,"29286"
,,,"197625498",residential,,"0",,"81.19900000000001",,Eliza Street,False,"19069804",,,"197473811",,,"29285"
,,,"197478566",residential,,"0","2","248.25199999999998",,Clifton Colony Drive,False,"19055993",,,"197473837",,,"29288"
,,,"197478566",residential,,"0","2","248.25199999999998",,Clifton Colony Drive,False,"19055993",,,"197473837",,,"29287"
,,,"387549530",primary,,"0","['5', '7']","331.731",35 mph,Martin Luther King Drive West,False,"[528941097, 528941098]",,,"197478592",,,"30581"
,,,"652382823",primary,,"0","['6', '5']","73.544",35 mph,Martin Luther King Drive West,False,"[528941097, 546760773]",,,"197478592",,,"30580"
,,,"387549530",primary,,"0","['5', '7']","331.731",35 mph,Martin Luther King Drive West,False,"[528941097, 528941098]",,,"197478592",,,"30583"
,,,"387549530",primary,,"0","['5', '7']","331.731",35 mph,Martin Luther King Drive West,False,"[528941097, 528941098]",,,"197478592",,,"30582"
yes,,,"197471107",residential,,"0","['2', '3']","88.14399999999999",30 mph,Highland Avenue,False,"[223417691, 545930181]",,,"197471106",,,"28523"
yes,,,"197668665",residential,,"0",,"123.54199999999999",,Stetson Street,False,"19071222",,,"197471106",,,"28522"
yes,,,"4693899963",residential,,"0",,"78.372",25 mph,Highland Avenue,False,"213355359",,,"197471107",,,"28525"
,,,"197471107",primary,,"0","3","126.817",30 mph,Martin Luther King Drive East,True,"50806491",,,"647844843",,,"28524"
,,,"647845141",primary,,"0","['3', '4']","197.257",30 mph,Martin Luther King Drive East,True,"[213355344, 545930175]",,,"197471107",,,"28527"
yes,,,"2880570094",primary,,"0","['6', '7']","126.99999999999999",30 mph,Martin Luther King Drive East,False,"[214781700, 528941222, 528941223]",,,"197471107",,,"28526"
,,,"932341132",tertiary,,"0","2","225.472",30 mph,West McMicken Avenue,False,"46704561",,,"197473797",,,"29284"
,,,"932341132",tertiary,,"0","2","225.472",30 mph,West McMicken Avenue,False,"46704561",,,"197473797",,,"29283"
yes,,,"197495789",residential,,"0","2","186.222",,Wentworth Avenue,False,"19070758",,,"197478623",,,"30593"
yes,,,"197478623",residential,,"0","2","51.480999999999995",,Brookline Avenue,False,"204191029",,,"197478622",,,"30592"
yes,,,"832351220",residential,,"0","2","97.972",,Brookline Avenue,False,"204191029",,,"197478623",,,"30595"
yes,,,"197495789",residential,,"0","2","186.222",,Wentworth Avenue,False,"19070758",,,"197478623",,,"30594"
yes,,,"197492247",residential,,"0","2","267.28999999999996",,Loraine Avenue,False,"19061768",,,"197478630",,,"30597"
yes,,,"197478631",residential,,"0","2","67.209",,Brookline Avenue,False,"204191029",,,"197478630",,,"30596"
yes,,,"197492247",residential,,"0","2","267.28999999999996",,Loraine Avenue,False,"19061768",,,"197478630",,,"30599"
yes,,,"197492247",residential,,"0","2","267.28999999999996",,Loraine Avenue,False,"19061768",,,"197478630",,,"30598"
yes,,,"197495772",tertiary,,"0","2","252.915",25 mph,Jefferson Avenue,False,"19063314",,,"197478622",,,"30585"
yes,,,"197495772",tertiary,,"0","2","252.915",25 mph,Jefferson Avenue,False,"19063314",,,"197478622",,,"30584"
,,,"197638433",tertiary,,"0","3","327.844",25 mph,Ludlow Avenue,False,"19068848",,,"197478622",,,"30587"
yes,,,"197495772",tertiary,,"0","2","252.915",25 mph,Jefferson Avenue,False,"19063314",,,"197478622",,,"30586"
,,,"197638433",tertiary,,"0","3","327.844",25 mph,Ludlow Avenue,False,"19068848",,,"197478622",,,"30589"
,,,"197638433",tertiary,,"0","3","327.844",25 mph,Ludlow Avenue,False,"19068848",,,"197478622",,,"30588"
,,,"2076323546",unclassified,,"0","2","236.20599999999996",,Brookline Avenue,False,"197389215",,,"197478622",,,"30591"
,,,"2076323546",unclassified,,"0","2","236.20599999999996",,Brookline Avenue,False,"197389215",,,"197478622",,,"30590"
,,,"197590761",residential,,"0",,"43.731",,Melish Place,False,"19064514",,,"197479877",,,"30894"
,,,"197590763",residential,,"0",,"114.406",,Melish Place,False,"19064514",,,"197479877",,,"30893"
yes,,,"197507883",primary,,"0","['5', '4']","214.88",35 mph,Reading Road,False,"[561047937, 561047931, 561047942]",US 42,,"197480318",,,"31076"
yes,,,"197490759",primary,,"0","5","109.995",35 mph,Reading Road,False,"207547335",US 42,,"197480318",,,"31075"
,,,"197507886",residential,,"0",,"116.961",,Glen Lyon Avenue,False,"19058891",,,"197480332",,,"31078"
yes,,,"197507883",primary,,"0","['5', '4']","214.88",35 mph,Reading Road,False,"[561047937, 561047931, 561047942]",US 42,,"197480318",,,"31077"
,,,"197480333",residential,,"0",,"201.239",,Lenox Place,False,"22768576",,,"197480332",,,"31080"
,,,"197480333",residential,,"0",,"201.239",,Lenox Place,False,"22768576",,,"197480332",,,"31079"
yes,,,"197522709",residential,,"0","2","247.23400000000004",,Glenmary Avenue,False,"19065397",,,"197478631",,,"30601"
yes,,,"197604745",residential,,"0","2","73.68",,Glenmary Avenue,False,"19065397",,,"197478631",,,"30600"
yes,,,"197522709",residential,,"0","2","247.23400000000004",,Glenmary Avenue,False,"19065397",,,"197478631",,,"30603"
yes,,,"197522709",residential,,"0","2","247.23400000000004",,Glenmary Avenue,False,"19065397",,,"197478631",,,"30602"
,,,"197479877",residential,,"0",,"197.28900000000002",,Concordia Street,False,"19056056",,,"197479871",,,"30890"
,,,"197524114",tertiary,,"0","2","33.323",30 mph,Lincoln Avenue,False,"19059657",,,"197479871",,,"30889"
,,,"197524113",tertiary,,"0","2","79.261",30 mph,Lincoln Avenue,False,"19059657",,,"197479871",,,"30892"
,,,"197479877",residential,,"0",,"197.28900000000002",,Concordia Street,False,"19056056",,,"197479871",,,"30891"
,,,"197484296",residential,,"0",,"244.741",,Dellway Street,False,"19056326",,,"197484293",,,"32179"
,,,"197484296",residential,,"0",,"244.741",,Dellway Street,False,"19056326",,,"197484293",,,"32178"
,,,"197560472",residential,,"0",,"149.139",,Melbourne Street,False,"19062668",,,"197484293",,,"32181"
,,,"197560472",residential,,"0",,"149.139",,Melbourne Street,False,"19062668",,,"197484293",,,"32180"
,,,"197488530",residential,,"0",,"338.17900000000003",,Ridgeway Avenue,False,"19067505",,,"197484766",,,"32305"
,,,"197484769",residential,,"0",,"136.386",,Drexel Place,False,"19056356",,,"197484766",,,"32304"
,,,"197488530",residential,,"0",,"338.17900000000003",,Ridgeway Avenue,False,"19067505",,,"197484766",,,"32307"
,,,"197488530",residential,,"0",,"338.17900000000003",,Ridgeway Avenue,False,"19067505",,,"197484766",,,"32306"
yes,,,"197507888",residential,,"0","2","149.23000000000002",,Winding Way,False,"19067855",,,"197480333",,,"31082"
yes,,,"197507888",residential,,"0","2","149.23000000000002",,Winding Way,False,"19067855",,,"197480333",,,"31081"
,,,"413263329",residential,,"0",,"41.075",,Glenmann Lane,False,"35223963",,,"197483260",,,"31829"
yes,,,"197483264",primary,,"0","5","6.025",35 mph,Reading Road,False,"561588188",US 42,,"197483260",,,"31828"
,,,"197483265",residential,,"0",,"173.24099999999999",,Mann Place,False,"19056255",,,"197483264",,,"31831"
,,,"197483265",residential,,"0",,"173.24099999999999",,Mann Place,False,"19056255",,,"197483264",,,"31830"
,,,"197484296",residential,,"0",,"244.741",,Dellway Street,False,"19056326",,,"197484293",,,"32177"
yes,,,"5414816018",primary,,"0","['5', '4']","83.647",35 mph,Reading Road,False,"[561588256, 561588211, 561588221]",US 42,,"197483264",,,"31832"
yes,,,"197485289",residential,,"0",,"141.755",,Glendora Avenue,False,"19056405",,,"197485287",,,"32468"
yes,,,"197485289",residential,,"0",,"141.755",,Glendora Avenue,False,"19056405",,,"197485287",,,"32467"
yes,,,"197485295",residential,,"0",,"141.23399999999998",,Glendora Avenue,False,"19056405",,,"197485289",,,"32470"
,,,"197641087",residential,,"0","4","39.906",,West Corry Street,False,"170856731",,,"197485287",,,"32469"
yes,,,"5418870993",unclassified,,"0",,"72.978",,West Charlton Street,False,"19059916",,,"197485289",,,"32472"
yes,,,"197485295",residential,,"0",,"141.23399999999998",,Glendora Avenue,False,"19056405",,,"197485289",,,"32471"
yes,,,"197485299",residential,,"0",,"141.172",,Glendora Avenue,False,"19056405",,,"197485295",,,"32474"
yes,,,"197485299",residential,,"0",,"141.172",,Glendora Avenue,False,"19056405",,,"197485295",,,"32473"
yes,,,"197485299",tertiary,,"0","2","15.027",25 mph,West University Avenue,False,"19060543",,,"197485255",,,"32460"
,,,"197488528",unclassified,,"0","2","93.243",,Blair Avenue,False,"83584076",,,"197484769",,,"32308"
,,,"197630768",unclassified,,"0",,"59.954",,West Rochelle Street,False,"19067678",,,"197485263",,,"32462"
yes,,,"197485263",residential,,"0",,"140.797",,Glendora Avenue,False,"19056403",,,"197485255",,,"32461"
yes,,,"4693900806",tertiary,,"0","2","45.359",25 mph,West Nixon Street,False,"19064909",,,"197485274",,,"32464"
yes,,,"534999570",unclassified,,"0",,"81.368",,Glendora Avenue,False,"229210276",,,"197485263",,,"32463"
yes,,,"197571207",tertiary,,"0","['2', '3']","151.402",25 mph,West Nixon Street,False,"[235036075, 544519892, 544519894, 544519895]",,,"197485274",,,"32466"
,,,"197485274",tertiary_link,,"0",,"113.335",,,True,"42786949",,,"2880570464",,,"32465"
permissive,,,"413336331",unclassified,,"0","1","198.73100000000002",,"['McMicken Circle', 'Campus Drive']",True,"[19057997, 19063158]",,,"413342363",,,"59812"
permissive,,,"413336331",unclassified,,"0","1","198.73100000000002",,"['McMicken Circle', 'Campus Drive']",True,"[19057997, 19063158]",,,"413342363",,,"59811"
permissive,,,"413338867",unclassified,,"0","3","277.26699999999994",,,False,"[35264033, 528941102]",,,"413338842",,,"59814"
,,,"5283483349",secondary_link,,"0","1","30.233000000000004",,,True,"546760759",,,"413336331",,,"59813"
permissive,,,"413338867",unclassified,,"0","3","277.26699999999994",,,False,"[35264033, 528941102]",,,"413338842",,,"59816"
permissive,,,"413338867",unclassified,,"0","3","277.26699999999994",,,False,"[35264033, 528941102]",,,"413338842",,,"59815"
permissive,,,"2457529940",unclassified,,"0","2","165.321",,Woodside Place,False,"[294776148, 19069222]",,,"413338842",,,"59818"
permissive,,,"2457529940",unclassified,,"0","2","165.321",,Woodside Place,False,"[294776148, 19069222]",,,"413338842",,,"59817"
,,,"387549192",residential,,"0",,"17.217",,Eleanor Place,False,"93356288",,,"387549192",,,"59681"
,,,"588160498",residential,,"0",,"50.793",,Southern Avenue,False,"46138265",,,"371045065",,,"59232"
permissive,,,"413338842",unclassified,,"0","['2', '3']","150.77200000000002",,Woodside Place,False,"[294776148, 528941134]",,,"387549530",,,"59683"
permissive,,,"413338842",unclassified,,"0","['2', '3']","150.77200000000002",,Woodside Place,False,"[294776148, 528941134]",,,"387549530",,,"59682"
,,,"413265321",residential,,"0",,"24.680999999999997",30 mph,Washington Avenue,False,"77518936",,,"413265067",,,"59796"
,,,"413257696",secondary_link,,"0","1","53.732",,,True,"35223892",,,"413257896",,,"59795"
,,,"413335310",residential,roundabout,"0","1","74.143",,,True,"286268808",,,"413335310",,,"59810"
,,,"2880570447",residential,,"0",,"91.95",,Hilton Place,False,"19070420",,,"413332203",,,"59803"
,,,"1108599278",primary,,"0","3","37.999",30 mph,Martin Luther King Drive West,True,"95634092",,,"647843702",,,"60548"
,,,"833602699",residential,,"0","['1', '2']","68.761",,Short Vine Street,True,"[528941217, 27939940]",,,"647843702",,,"60547"
,,,"5263594354",residential,,"0",,"71.68",,Bellevue Avenue,False,"33832978",,,"647844843",,,"60550"
,,,"647843714",primary,,"0","3","55.84700000000001",30 mph,Martin Luther King Drive East,True,"545930152",,,"647843720",,,"60549"
yes,,,"4693899965",residential,,"0","4","71.005",,Eden Avenue,False,"[528941220, 545948597]",,,"647844847",,,"60552"
,,,"647844843",primary,,"0","['3', '4']","143.464",30 mph,Martin Luther King Drive East,True,"[50806491, 528941219]",,,"647844847",,,"60551"
,,,"647846910",secondary,,"0","3","122.642",35 mph,Jefferson Avenue,True,"[528941210, 545930140]",,,"1108598774",,,"60554"
,,,"647846910",unclassified,,"0","1","10.815",,Jefferson Avenue,True,"27939972",,,"2880570495",,,"60553"
permissive,,,"413343276",unclassified,,"0","2","216.204",,Campus Drive,False,"59341704",,,"413342363",,,"59820"
,,,"1108596633",primary,,"0","['6', '7']","95.149",35 mph,Martin Luther King Drive West,False,"[528941103, 95605535]",,,"413338867",,,"59819"
,,,"1108605423",unclassified,,"0","['2', '3']","242.26",,College Court,False,"[546760747, 19065413]",,,"413342732",,,"59822"
permissive,,,"413343276",unclassified,,"0","2","216.204",,Campus Drive,False,"59341704",,,"413342363",,,"59821"
,,,"1108605423",unclassified,,"0","['2', '3']","242.26",,College Court,False,"[546760747, 19065413]",,,"413342732",,,"59824"
,,,"1108605423",unclassified,,"0","['2', '3']","242.26",,College Court,False,"[546760747, 19065413]",,,"413342732",,,"59823"
,,,"647843702",primary,,"0","3","68.679",30 mph,Martin Luther King Drive East,True,"545930152",,,"647843714",,,"60546"
,,,"4693899966",unclassified,,"0",,"56.568",,Goodman Street,False,"50806386",,,"647841401",,,"60545"
,,,"706919261",residential,,"0",,"175.753",,Rawson Farm Lane,False,"56394706",,,"706919236",,,"60698"
,,,"706919261",residential,,"0",,"175.753",,Rawson Farm Lane,False,"56394706",,,"706919236",,,"60697"
,,,"832357917",residential,,"0",,"336.46",,Lafayette Lane,False,"19070362",,,"832357895",,,"60893"
,,,"706919261",residential,,"0",,"60.81400000000001",,Rawson Farm Lane,False,"56394706",,,"706919261",,,"60699"
,,,"832357917",residential,,"0",,"336.46",,Lafayette Lane,False,"19070362",,,"832357895",,,"60895"
,,,"832357917",residential,,"0",,"336.46",,Lafayette Lane,False,"19070362",,,"832357895",,,"60894"
yes,,,"1111155178",residential,,"0",,"165.422",25 mph,Ohio Avenue,False,"19054902",,,"912428166",,,"61003"
,,,"1108599278",residential,,"0","1","74.759",,Short Vine Street,True,"27939935",,,"833602699",,,"60896"
,,,"652382804",secondary_link,,"0","1","45.440999999999995",,,True,"51133537",,,"652382816",,,"60563"
,,,"2880570499",secondary,,"0","['3', '4']","80.054",35 mph,Jefferson Avenue,True,"[50806554, 545930138]",,,"647846910",,,"60555"
,,,"652382826",primary,,"0","6","12.706",35 mph,Martin Luther King Drive West,False,"546760772",,,"652382816",,,"60565"
,,,"652382823",secondary_link,,"0","1","41.586",,,True,"51133541",,,"652382804",,,"60564"
,,,"652382826",secondary_link,,"0","1","42.632",,,True,"51133539",,,"652382820",,,"60567"
,,,"5283483322",secondary,,"0","6","8.348",35 mph,Clifton Avenue,False,"528941095",,,"652382820",,,"60566"
,,,"2456837514",secondary,,"0","3","42.035",35 mph,Clifton Avenue,True,"[283841577, 546760762, 546760763]",,,"701720007",,,"60683"
,,,"5283483322",secondary_link,,"0","1","37.214",,,True,"51133538",,,"652382823",,,"60568"
,,,"1108598774",secondary,,"0","3","14.225",35 mph,Jefferson Avenue,True,"95634091",,,"2880570488",,,"61326"
,,,"2880570488",primary,,"0","['3', '4']","97.544",35 mph,Martin Luther King Drive West,True,"[214782941, 528941206]",,,"1108597894",,,"61325"
,,,"2880570490",primary,,"0","4","20.467",35 mph,Martin Luther King Drive West,True,"528941209",,,"1108598774",,,"61328"
,,,"1108598774",primary,,"0","3","9.496",30 mph,Martin Luther King Drive West,True,"95634092",,,"1108599278",,,"61327"
,,,"1910192914",residential,,"0","1","240.29599999999994",,,False,"180597567",,,"1910192889",,,"61937"
,,,"3724949963",residential,,"0","['4', '3']","117.932",,Mason Street,False,"[19060483, 562061747, 562061743]",,,"1109370737",,,"61329"
yes,,,"2079227787",residential,,"0","2","53.241",,City View Place,False,"197715247",,,"2079227786",,,"62060"
,,,"1910192914",residential,,"0","1","240.29599999999994",,,False,"180597567",,,"1910192889",,,"61938"
,,,"932341721",tertiary_link,,"0",,"52.075",,,True,"79870934",,,"932341275",,,"61082"
yes,,,"1111155178",residential,,"0",,"165.422",25 mph,Ohio Avenue,False,"19054902",,,"912428166",,,"61004"
,,,"1108590211",residential,,"1","2","138.268",,Mason Street,True,"[562061776, 562061778]",,,"3724949963",,,"61320"
,,,"1108590211",residential,,"0",,"70.818",,Eleanor Place,False,"95684855",,,"1108590184",,,"61319"
,,,"1109370737",tertiary,,"0","4","69.564",25 mph,Auburn Avenue,False,"33833015",,,"1108590275",,,"61322"
,,,"3724949963",residential,,"0",,"137.253",,Mason Street,True,"95655286",,,"1108590211",,,"61321"
,,,"1108597894",primary,,"0","3","123.517",35 mph,Martin Luther King Drive West,True,"528941207",,,"1108596633",,,"61324"
,,,"5418871258",residential,,"0","3","117.15599999999999",,Huntington Place,False,"[562061752, 562061749]",,,"1108590275",,,"61323"
yes,,,"2880570093",secondary,,"0","3","107.31200000000001",30 mph,East McMillan Street,True,"562061718",,,"2880570456",,,"62422"
yes,,,"2880570445",tertiary,,"0","3","220.171",30 mph,Burnet Avenue,False,"562094372",,,"2880570092",,,"62421"
yes,,,"2880570433",tertiary,,"0","['4', '5']","76.225",30 mph,Burnet Avenue,False,"[214781699, 544519999]",,,"2880570094",,,"62424"
yes,,,"2880570460",secondary,,"0","3","79.16499999999999",30 mph,East McMillan Street,True,"562061718",,,"2880570093",,,"62423"
yes,,,"2880570438",tertiary,,"0","['3', '5']","235.87",30 mph,Burnet Avenue,False,"[544520000, 544520001, 561588364]",,,"2880570094",,,"62426"
yes,,,"2880570438",tertiary,,"0","['3', '5']","235.87",30 mph,Burnet Avenue,False,"[544520000, 544520001, 561588364]",,,"2880570094",,,"62425"
,,,"2880570418",residential,,"0","['3', '4']","308.84100000000007",,Erkenbrecher Avenue,False,"[544519914, 19062298, 544519911]",,,"2880570095",,,"62428"
,,,"2880570418",residential,,"0","['3', '4']","308.84100000000007",,Erkenbrecher Avenue,False,"[544519914, 19062298, 544519911]",,,"2880570095",,,"62427"
,,,"5283483349",secondary,,"0","['5', '4']","99.61099999999999",35 mph,Clifton Avenue,False,"[546760760, 546760761, 55884134]",,,"2456837514",,,"62290"
yes,,,"2347558487",unclassified,,"0",,"73.07000000000001",,South Market Street,False,"225923107",,,"2193444026",,,"62263"
,,,"3269845860",primary,,"0","4","242.23499999999999",35 mph,,False,"[316744960, 528148995, 562411644]","US 27;US 52",,"2543520792",,,"62330"
yes,,,"5414816018",primary,,"0","6","14.292",35 mph,Reading Road,False,"561588228",US 42,,"2471127569",,,"62292"
yes,,,"2880570441",tertiary,,"0","3","151.66599999999997",30 mph,Burnet Avenue,False,"562094372",,,"2880570092",,,"62418"
,,,"5286108214",tertiary_link,,"0","1","41.084",25 mph,,True,"263304062",,,"2689295448",,,"62381"
yes,,,"2880570445",tertiary,,"0","3","220.171",30 mph,Burnet Avenue,False,"562094372",,,"2880570092",,,"62420"
yes,,,"2880570441",tertiary,,"0","3","151.66599999999997",30 mph,Burnet Avenue,False,"562094372",,,"2880570092",,,"62419"
yes,,,"2880570439",tertiary,,"0","['4', '3']","52.919",30 mph,Burnet Avenue,False,"[561588364, 561588357]",,,"2880570438",,,"62438"
,,,"4693899963",unclassified,,"0","2","127.741",,Piedmont Avenue,False,"19067109",,,"2880570433",,,"62437"
yes,,,"2880570458",secondary,,"0","3","244.01400000000004",30 mph,East McMillan Street,True,"562061718",,,"2880570460",,,"62443"
yes,,,"2880570441",tertiary,,"0","['3', '4']","34.123000000000005",30 mph,Burnet Avenue,False,"[561588363, 561588358]",,,"2880570439",,,"62439"
yes,,,"2880570458",secondary,,"0","3","244.01400000000004",30 mph,East McMillan Street,True,"562061718",,,"2880570460",,,"62445"
yes,,,"2880570458",secondary,,"0","3","244.01400000000004",30 mph,East McMillan Street,True,"562061718",,,"2880570460",,,"62444"
,,,"2880570485",secondary,,"0","['6', '5', '4']","91.742",35 mph,Vine Street,False,"[27939944, 528941211, 235036077]",,,"2880570464",,,"62447"
,,,"4693900806",secondary,,"0","5","87.09",35 mph,Vine Street,False,"528941211",,,"2880570464",,,"62446"
,,,"2880570469",secondary,,"0","['5', '4']","83.762",35 mph,Vine Street,False,"[544519909, 544519910]",,,"2880570095",,,"62430"
,,,"2880570418",residential,,"0","['3', '4']","308.84100000000007",,Erkenbrecher Avenue,False,"[544519914, 19062298, 544519911]",,,"2880570095",,,"62429"
,,,"5263594411",residential,,"0","4","233.814",,Erkenbrecher Avenue,False,"236413038",,,"2880570418",,,"62432"
,,,"5263594411",residential,,"0","4","233.814",,Erkenbrecher Avenue,False,"236413038",,,"2880570418",,,"62431"
yes,,,"4693900802",tertiary,,"0","['5', '4']","225.82",30 mph,Burnet Avenue,False,"[213355346, 544519996]",,,"2880570431",,,"62434"
yes,,,"4693900802",tertiary,,"0","['5', '4']","225.82",30 mph,Burnet Avenue,False,"[213355346, 544519996]",,,"2880570431",,,"62433"
yes,,,"2880570433",tertiary,,"0","4","81.88000000000001",30 mph,Burnet Avenue,False,"544519999",,,"2880570431",,,"62436"
,,,"5263594361",residential,,"0",,"82.089",,Goodman Street,False,"213355357",,,"2880570431",,,"62435"
,,,"4367116492",tertiary,,"0","['1', '2']","410.84700000000004",30 mph,Dixmyth Avenue,True,"[439085474, 547073666]",,,"4367116080",,,"62945"
,,,"4367116492",tertiary,,"0","['1', '2']","410.84700000000004",30 mph,Dixmyth Avenue,True,"[439085474, 547073666]",,,"4367116080",,,"62944"
,,,"4367116492",tertiary,,"0","['1', '2']","410.84700000000004",30 mph,Dixmyth Avenue,True,"[439085474, 547073666]",,,"4367116080",,,"62947"
,,,"4367116492",tertiary,,"0","['1', '2']","410.84700000000004",30 mph,Dixmyth Avenue,True,"[439085474, 547073666]",,,"4367116080",,,"62946"
yes,,,"5263594361",residential,,"0",,"127.36200000000001",25 mph,"['Highland Avenue', 'Goodman Street']",False,"[213355357, 213355359]",,,"4693899963",,,"62972"
,,,"5263594354",unclassified,,"0","2","125.228",,Piedmont Avenue,False,"19067109",,,"4693899963",,,"62971"
,,,"5263594354",unclassified,,"0","2","143.656",,Piedmont Avenue,False,"19067109",,,"4693899965",,,"62974"
,,,"5263594354",unclassified,,"0","2","143.656",,Piedmont Avenue,False,"19067109",,,"4693899965",,,"62973"
,,,"2880570488",secondary,,"0","6","81.461",35 mph,Vine Street,False,"27939944",,,"2880570485",,,"62449"
,,,"5139069694",secondary,,"0","['5', '4']","99.609",35 mph,Vine Street,False,"[236413032, 544519902]",,,"2880570469",,,"62448"
,,,"2880570490",secondary,,"0","2","106.68500000000002",35 mph,Jefferson Avenue,True,"545930131",,,"2880570495",,,"62451"
,,,"2880570488",secondary,,"0","4","25.857",35 mph,Jefferson Avenue,True,"214782943",,,"2880570490",,,"62450"
,,,"5418871258",residential,,"0","2","70.968",,,False,"562061748",,,"3724949963",,,"62786"
,,,"2880570495",secondary,,"0","2","87.767",35 mph,Jefferson Avenue,True,"545930131",,,"2880570499",,,"62452"
,,,"4367116492",residential,,"0",,"57.225",,Whitfield Avenue,False,"19061568",,,"4032012254",,,"62825"
,,,"4032012254",unclassified,,"0",,"9.221",,,False,"400666822",,,"4032012253",,,"62824"
yes,,,"5263594397",unclassified,,"0","['3', '4']","695.2730000000001",,"['Albert Sabin Way', 'Eden Avenue']",False,"[544519970, 544519941, 544519944, 19056841, 544519948, 544519981, 544519952, 544519987, 544519955, 213355347, 544519990, 544519958, 544519930]",,,"4693899966",,,"62984"
yes,,,"5263594397",unclassified,,"0","['3', '4']","695.2730000000001",,"['Albert Sabin Way', 'Eden Avenue']",False,"[544519970, 544519941, 544519944, 19056841, 544519948, 544519981, 544519952, 544519987, 544519955, 213355347, 544519990, 544519958, 544519930]",,,"4693899966",,,"62983"
yes,,,"5263594397",unclassified,,"0","['3', '4']","695.2730000000001",,"['Albert Sabin Way', 'Eden Avenue']",False,"[544519970, 544519941, 544519944, 19056841, 544519948, 544519981, 544519952, 544519987, 544519955, 213355347, 544519990, 544519958, 544519930]",,,"4693899966",,,"62986"
yes,,,"5263594397",unclassified,,"0","['3', '4']","695.2730000000001",,"['Albert Sabin Way', 'Eden Avenue']",False,"[544519970, 544519941, 544519944, 19056841, 544519948, 544519981, 544519952, 544519987, 544519955, 213355347, 544519990, 544519958, 544519930]",,,"4693899966",,,"62985"
yes,,,"5263594401",tertiary,,"0","['4', '5']","122.36099999999999",30 mph,Burnet Avenue,False,"[544519995, 544520002, 544520003, 544519997]",,,"4693900802",,,"62988"
,,,"5263594397",unclassified,,"0","['3', '5']","61.285",,Albert Sabin Way,False,"[19061647, 544519991]",,,"4693900802",,,"62987"
